user_id,activity_date,device_id,steps,active_minutes,resting_hr,sleep_minutes,sleep_deep_minutes,sleep_rem_minutes,sleep_light_minutes,calories
1,2024-09-07,2,7697,73,58.6,367,76,83,208,2136
1,2024-09-08,2,7538,64,60.2,418,60,94,264,2065
1,2024-09-09,2,6479,59,59.6,390,87,97,206,1985
1,2024-09-10,2,5946,55,57.6,388,74,89,225,2049
1,2024-09-11,2,5021,46,58.0,419,73,86,260,1953
1,2024-09-12,2,9054,79,57.0,405,88,90,227,2247
1,2024-09-13,2,9122,90,55.2,470,64,86,320,2319
1,2024-09-14,2,8919,91,55.5,393,85,98,210,2259
1,2024-09-15,2,8426,82,53.9,402,92,101,209,2158
1,2024-09-16,2,8256,75,57.5,461,86,83,292,2246
1,2024-09-17,2,7337,69,57.9,508,117,131,260,2043
1,2024-09-18,2,7877,75,59.1,400,89,98,213,2098
1,2024-09-19,2,4992,51,60.2,327,74,73,180,2026
1,2024-09-20,2,7878,77,59.7,498,109,102,287,2208
1,2024-09-21,2,8381,77,53.2,368,52,80,236,2173
1,2024-09-22,2,8772,82,58.4,383,71,100,212,2319
1,2024-09-23,2,8944,79,58.9,473,82,104,287,2200
1,2024-09-24,2,9791,82,53.8,366,49,85,232,2163
1,2024-09-25,2,10125,98,56.5,406,87,91,228,2310
1,2024-09-26,2,9046,79,57.0,435,72,115,248,2282
1,2024-09-27,2,10889,88,58.5,421,69,94,258,2341
1,2024-09-28,2,9643,83,56.5,415,76,76,263,2304
1,2024-09-29,2,8284,70,58.1,448,100,84,264,2195
1,2024-09-30,2,7534,77,60.1,397,80,91,226,2098
1,2024-10-01,2,7475,66,57.6,366,78,75,213,2142
1,2024-10-02,2,6869,71,58.0,486,82,126,278,2020
1,2024-10-03,2,9620,87,55.3,436,93,79,264,2336
1,2024-10-04,2,7473,60,54.3,417,59,103,255,2117
1,2024-10-05,2,10204,85,54.4,458,72,87,299,2240
1,2024-10-06,2,9563,93,55.3,488,76,126,286,2251
1,2024-10-07,2,11016,98,54.7,416,62,77,277,2461
1,2024-10-08,2,5824,59,59.2,558,102,109,347,2032
1,2024-10-09,2,6653,62,57.1,356,64,74,218,1995
1,2024-10-10,2,8522,81,56.2,583,90,134,359,2191
1,2024-10-11,2,6833,66,58.5,349,47,92,210,2098
1,2024-10-12,2,10512,93,54.2,436,65,93,278,2346
1,2024-10-13,2,9143,81,56.9,465,65,113,287,2228
1,2024-10-14,2,8387,72,61.8,385,68,98,219,2178
1,2024-10-15,2,5600,52,62.3,424,66,111,247,1922
1,2024-10-16,2,9025,93,55.8,303,68,55,180,2275
1,2024-10-17,2,8781,75,58.8,453,98,111,244,2262
1,2024-10-18,2,8078,78,58.4,426,65,94,267,2200
1,2024-10-19,2,8572,91,53.6,439,77,90,272,2280
1,2024-10-20,2,11531,111,55.8,461,81,89,291,2410
1,2024-10-21,2,9341,97,53.9,399,90,106,203,2321
1,2024-10-22,2,11555,117,54.5,440,83,111,246,2517
1,2024-10-23,2,10846,108,55.2,454,73,103,278,2449
1,2024-10-24,2,10241,90,53.0,463,89,116,258,2297
1,2024-10-25,2,8655,86,60.2,435,81,112,242,2228
1,2024-10-26,2,9409,90,56.1,401,85,99,217,2240
1,2024-10-27,2,13610,120,53.7,464,79,122,263,2537
1,2024-10-28,2,5992,44,57.5,419,89,109,221,1893
1,2024-10-29,2,11046,107,54.3,437,98,100,239,2388
1,2024-10-30,2,8729,75,57.9,406,64,107,235,2146
1,2024-10-31,2,8753,77,60.3,445,59,119,267,2240
1,2024-11-01,2,7188,71,57.9,488,98,98,292,2095
1,2024-11-02,2,7797,69,51.8,397,87,88,222,2165
1,2024-11-03,2,6809,60,60.0,456,70,109,277,2119
1,2024-11-04,2,9018,87,53.7,390,64,79,247,2235
1,2024-11-05,2,6181,62,58.6,414,64,97,253,2027
1,2024-11-06,2,5754,46,63.3,384,54,101,229,1916
1,2024-11-07,2,7469,61,57.8,398,59,85,254,2154
1,2024-11-08,2,9364,87,58.7,399,58,84,257,2300
1,2024-11-09,2,9506,91,56.4,377,65,77,235,2255
1,2024-11-10,2,7548,63,56.7,444,80,119,245,2103
1,2024-11-11,2,9486,81,59.5,264,38,57,169,2319
1,2024-11-12,2,9491,93,56.6,438,82,91,265,2267
1,2024-11-13,2,9115,81,57.2,359,70,82,207,2232
1,2024-11-14,2,8691,82,57.4,451,97,100,254,2248
1,2024-11-15,2,8390,70,56.8,481,86,116,279,2146
1,2024-11-16,2,13453,119,52.5,349,70,72,207,2504
1,2024-11-17,2,12020,97,53.5,357,66,64,227,2449
1,2024-11-18,2,9772,81,57.9,470,74,123,273,2260
1,2024-11-19,2,10697,108,55.4,487,107,121,259,2404
1,2024-11-20,2,9832,90,52.5,385,54,103,228,2327
1,2024-11-21,2,5847,53,56.8,482,81,90,311,2003
1,2024-11-22,2,11559,95,56.1,495,67,133,295,2395
1,2024-11-23,2,10827,99,57.4,363,62,89,212,2418
1,2024-11-24,2,5208,36,60.3,397,71,101,225,1943
1,2024-11-25,2,9795,95,54.8,463,78,92,293,2329
1,2024-11-26,2,7339,66,60.2,358,48,90,220,2101
1,2024-11-27,2,8194,80,55.3,530,82,108,340,2207
1,2024-11-28,2,10341,95,53.7,410,74,106,230,2356
1,2024-11-29,2,8336,72,57.7,420,74,108,238,2205
1,2024-11-30,2,7205,63,58.1,424,88,92,244,2008
1,2024-12-01,2,11343,100,52.2,356,48,67,241,2424
1,2024-12-02,2,9434,83,55.0,399,84,82,233,2219
1,2024-12-03,2,5952,56,62.7,470,61,125,284,2026
1,2024-12-04,2,10967,94,55.5,490,105,111,274,2321
1,2024-12-05,2,10388,93,52.2,413,87,84,242,2329
1,2024-12-06,2,8894,87,57.3,390,69,83,238,2225
1,2024-12-07,2,10127,99,55.3,459,103,100,256,2367
1,2024-12-08,2,10384,90,55.2,398,79,80,239,2327
1,2024-12-09,2,7060,51,58.0,460,81,89,290,2094
1,2024-12-10,2,9635,93,56.6,498,85,130,283,2349
1,2024-12-11,2,7885,75,56.5,478,88,92,298,2193
1,2024-12-12,2,7696,72,58.6,337,76,90,171,2049
1,2024-12-13,2,7521,68,56.8,422,96,90,236,2180
1,2024-12-14,2,11510,111,53.0,403,72,97,234,2479
1,2024-12-15,2,7234,67,58.5,426,66,103,257,2122
1,2024-12-16,2,9611,77,56.7,346,57,75,214,2265
1,2024-12-17,2,5300,52,60.2,472,73,92,307,1925
1,2024-12-18,2,10067,90,56.6,416,89,93,234,2352
1,2024-12-19,2,9803,97,55.5,293,51,72,170,2329
1,2024-12-20,2,8926,92,57.4,439,84,94,261,2360
1,2024-12-21,2,10030,90,57.6,352,72,95,185,2281
1,2024-12-22,2,10963,100,54.5,437,97,115,225,2369
1,2024-12-23,2,8529,75,55.2,453,71,109,273,2186
1,2024-12-24,2,6939,66,58.3,493,70,128,295,1999
1,2024-12-25,2,9378,89,55.5,421,63,96,262,2244
1,2024-12-26,2,10951,101,54.0,450,95,93,262,2447
1,2024-12-27,2,9759,93,56.4,414,65,111,238,2270
1,2024-12-28,2,10989,106,53.8,429,60,86,283,2475
1,2024-12-29,2,11705,101,54.4,494,87,108,299,2376
1,2024-12-30,2,6924,58,56.6,425,60,108,257,2061
1,2024-12-31,2,7758,71,61.7,399,83,80,236,2142
1,2025-01-01,2,9658,84,56.8,359,73,71,215,2304
1,2025-01-02,2,8707,81,57.6,413,82,84,247,2300
1,2025-01-03,2,7865,77,58.1,436,95,85,256,2048
1,2025-01-04,2,10893,103,54.1,411,73,81,257,2322
1,2025-01-05,2,9223,96,60.0,363,68,72,223,2364
1,2025-01-06,2,6712,59,59.4,405,92,87,226,2072
1,2025-01-07,2,7027,60,58.0,371,85,94,192,2090
1,2025-01-08,2,7423,65,57.0,431,84,98,249,2145
1,2025-01-09,2,6934,61,57.5,402,86,108,208,2091
1,2025-01-10,2,8520,72,54.8,396,81,100,215,2199
1,2025-01-11,2,13238,116,54.7,425,61,108,256,2493
1,2025-01-12,2,10114,83,56.2,402,53,93,256,2298
1,2025-01-13,2,11170,100,52.6,443,73,118,252,2424
1,2025-01-14,2,8041,71,57.6,387,59,71,257,2145
1,2025-01-15,2,8271,79,57.6,402,69,91,242,2307
1,2025-01-16,2,7405,67,59.3,489,85,126,278,2117
1,2025-01-17,2,10012,89,57.8,402,72,99,231,2361
1,2025-01-18,2,11000,102,57.0,378,57,79,242,2377
1,2025-01-19,2,8193,77,55.3,485,68,89,328,2247
1,2025-01-20,2,8454,83,58.8,435,76,92,267,2266
1,2025-01-21,2,8492,73,58.8,476,66,88,322,2210
1,2025-01-22,2,10570,93,51.2,389,74,77,238,2261
1,2025-01-23,2,7919,74,59.6,376,80,69,227,2093
1,2025-01-24,2,8865,91,57.2,396,56,95,245,2289
1,2025-01-25,2,7360,81,55.8,417,54,91,272,2132
1,2025-01-26,2,10482,88,55.1,403,70,85,248,2310
1,2025-01-27,2,7791,66,57.3,437,94,91,252,2088
1,2025-01-28,2,9572,90,56.4,398,74,73,251,2272
1,2025-01-29,2,8472,84,54.8,401,83,105,213,2293
1,2025-01-30,2,7139,72,55.8,481,79,126,276,2140
1,2025-01-31,2,7308,66,57.7,507,86,95,326,2046
1,2025-02-01,2,10215,92,55.2,434,92,110,232,2283
1,2025-02-02,2,7028,51,56.5,456,94,88,274,2032
1,2025-02-03,2,6246,46,60.3,514,68,103,343,1990
1,2025-02-04,2,8944,69,55.9,574,131,114,329,2232
1,2025-02-05,2,9524,88,54.0,394,68,86,240,2296
1,2025-02-06,2,6296,57,60.2,440,88,98,254,1990
1,2025-02-07,2,6173,61,60.3,505,115,135,255,2071
1,2025-02-08,2,8464,81,58.3,373,77,87,209,2249
1,2025-02-09,2,6696,69,57.2,408,70,102,236,2083
1,2025-02-10,2,12212,110,54.5,528,98,116,314,2610
1,2025-02-11,2,8449,75,56.5,461,95,103,263,2190
1,2025-02-12,2,7942,72,58.9,404,86,91,227,2106
1,2025-02-13,2,10034,91,53.8,357,79,79,199,2264
1,2025-02-14,2,9307,88,60.4,368,51,83,234,2266
1,2025-02-15,2,8631,76,53.1,420,62,104,254,2201
1,2025-02-16,2,10276,97,57.0,433,80,98,255,2375
1,2025-02-17,2,8557,83,55.7,426,93,93,240,2279
1,2025-02-18,2,6139,56,60.3,430,68,104,258,2063
1,2025-02-19,2,9840,78,56.0,417,64,80,273,2249
1,2025-02-20,2,9268,85,55.8,411,91,92,228,2303
1,2025-02-21,2,10480,98,53.9,476,98,86,292,2456
1,2025-02-22,2,9411,82,56.0,354,47,67,240,2265
1,2025-02-23,2,7144,77,57.1,371,63,77,231,2091
1,2025-02-24,2,8803,80,55.5,415,93,83,239,2289
1,2025-02-25,2,7509,62,60.5,378,59,69,250,2072
1,2025-02-26,2,8453,89,58.7,449,83,99,267,2230
1,2025-02-27,2,8093,70,58.1,481,72,87,322,2133
1,2025-02-28,2,6986,57,56.8,394,59,106,229,2081
1,2025-03-01,2,10096,94,58.0,429,59,86,284,2328
1,2025-03-02,2,9522,93,53.2,420,63,85,272,2411
1,2025-03-03,2,7572,66,56.9,368,54,95,219,2049
1,2025-03-04,2,8169,69,54.5,467,61,117,289,2152
1,2025-03-05,2,9303,88,55.3,419,94,104,221,2387
1,2025-03-06,2,9864,92,54.7,400,82,94,224,2276
1,2025-03-07,2,7675,81,58.8,479,83,122,274,2249
1,2025-03-08,2,7946,80,59.9,399,70,92,237,2162
1,2025-03-09,2,10586,95,54.9,434,73,91,270,2388
1,2025-03-10,2,5126,51,62.4,430,83,104,243,1947
1,2025-03-11,2,8537,76,56.1,383,60,73,250,2241
1,2025-03-12,2,5755,57,60.3,365,68,88,209,2068
1,2025-03-13,2,7225,66,61.1,379,76,95,208,2098
1,2025-03-14,2,10599,82,55.1,414,85,108,221,2275
1,2025-03-15,2,13746,117,56.7,426,81,97,248,2557
1,2025-03-16,2,9320,96,53.9,491,111,102,278,2277
1,2025-03-17,2,5890,55,59.1,443,60,96,287,2143
1,2025-03-18,2,8049,73,57.2,375,72,87,216,2186
1,2025-03-19,2,7898,67,59.6,386,76,77,233,2164
1,2025-03-20,2,10261,96,55.5,411,85,88,238,2361
1,2025-03-21,2,7925,69,56.5,382,55,72,255,2126
1,2025-03-22,2,10840,98,56.8,425,97,79,249,2367
1,2025-03-23,2,10542,101,55.6,376,57,81,238,2332
1,2025-03-24,2,9654,79,57.5,381,75,69,237,2364
1,2025-03-25,2,6392,63,59.4,448,94,119,235,2083
1,2025-03-26,2,9445,85,51.7,366,82,89,195,2229
1,2025-03-27,2,6936,64,60.4,324,57,78,189,2134
1,2025-03-28,2,10436,95,54.6,470,101,89,280,2297
1,2025-03-29,2,5821,58,58.7,353,48,91,214,2054
1,2025-03-30,2,10257,89,54.9,438,79,92,267,2378
1,2025-03-31,2,4575,35,56.8,370,57,75,238,1839
1,2025-04-01,2,7356,65,58.0,457,61,122,274,2204
1,2025-04-02,2,4673,44,59.4,515,81,127,307,1920
1,2025-04-03,2,8158,73,56.8,446,74,82,290,2204
1,2025-04-04,2,5697,46,61.2,436,96,113,227,2002
1,2025-04-05,2,10374,98,57.9,290,59,58,173,2352
1,2025-04-06,2,7207,59,60.6,433,69,88,276,2090
1,2025-04-07,2,7691,79,57.8,505,94,116,295,2190
1,2025-04-08,2,5036,45,58.9,505,69,118,318,2005
1,2025-04-09,2,4937,53,57.8,419,89,96,234,1976
1,2025-04-10,2,6201,54,62.5,427,56,77,294,2045
1,2025-04-11,2,8024,77,62.0,378,64,87,227,2162
1,2025-04-12,2,6737,51,56.8,390,56,71,263,2091
1,2025-04-13,2,5187,58,61.0,471,86,104,281,1953
1,2025-04-14,2,6626,58,57.4,368,50,99,219,2006
1,2025-04-15,2,9420,90,59.2,476,77,122,277,2284
1,2025-04-16,2,5208,49,60.7,375,78,94,203,2027
1,2025-04-17,2,9005,74,61.4,411,71,110,230,2261
1,2025-04-18,2,9470,80,55.1,381,68,87,226,2293
1,2025-04-19,2,12028,107,53.1,346,47,76,223,2452
1,2025-04-20,2,7320,69,56.2,318,57,82,179,2182
1,2025-04-21,2,9959,77,54.7,400,72,75,253,2313
1,2025-04-22,2,7820,80,63.7,478,92,87,299,2168
1,2025-04-23,2,7165,59,56.9,397,58,74,265,2169
1,2025-04-24,2,6778,58,58.3,495,65,125,305,2114
1,2025-04-25,2,7602,73,58.0,367,55,67,245,2104
1,2025-04-26,2,8530,86,53.9,431,90,96,245,2142
1,2025-04-27,2,8632,79,58.1,365,57,86,222,2202
1,2025-04-28,2,10240,91,54.3,370,63,75,232,2374
1,2025-04-29,2,4445,40,60.0,428,64,92,272,1889
1,2025-04-30,2,7317,62,58.7,434,62,104,268,2063
1,2025-05-01,2,9697,83,57.3,484,69,100,315,2256
1,2025-05-02,2,8626,75,56.4,450,85,113,252,2198
1,2025-05-03,2,9211,78,56.2,380,82,82,216,2257
1,2025-05-04,2,8202,76,55.3,434,81,81,272,2215
1,2025-05-05,2,7630,72,59.4,415,68,85,262,2170
1,2025-05-06,2,6413,61,58.1,404,67,79,258,2033
1,2025-05-07,2,10623,95,61.6,454,63,86,305,2317
1,2025-05-08,2,5996,48,61.1,432,76,85,271,1984
1,2025-05-09,2,10094,78,59.2,389,59,100,230,2295
1,2025-05-10,2,11526,105,53.8,349,80,67,202,2445
1,2025-05-11,2,12127,123,52.4,401,73,75,253,2603
1,2025-05-12,2,7411,60,58.4,414,77,76,261,2169
1,2025-05-13,2,7464,75,58.6,355,57,77,221,2121
1,2025-05-14,2,7491,78,59.4,444,66,109,269,2193
1,2025-05-15,2,8184,77,56.2,446,96,97,253,2203
1,2025-05-16,2,4027,38,58.6,441,63,114,264,1981
1,2025-05-17,2,8767,69,53.8,436,93,85,258,2167
1,2025-05-18,2,9194,85,55.0,374,70,89,215,2170
1,2025-05-19,2,6740,63,57.4,438,59,98,281,2116
1,2025-05-20,2,5883,39,55.3,451,71,91,289,1874
1,2025-05-21,2,9978,87,58.1,420,70,97,253,2262
1,2025-05-22,2,10780,98,56.3,373,59,76,238,2406
1,2025-05-23,2,7337,66,59.3,378,60,79,239,2101
1,2025-05-24,2,11998,104,52.0,333,59,71,203,2444
1,2025-05-25,2,9273,81,55.9,389,77,88,224,2323
1,2025-05-26,2,8471,80,56.7,391,66,76,249,2264
1,2025-05-27,2,8411,72,58.2,412,55,101,256,2240
1,2025-05-28,2,5211,53,60.3,379,84,79,216,1959
1,2025-05-29,2,8352,82,58.0,416,67,111,238,2247
1,2025-05-30,2,7213,70,57.1,375,70,90,215,2094
1,2025-05-31,2,12015,111,54.7,511,90,117,304,2404
1,2025-06-01,2,10767,97,56.4,342,61,82,199,2349
1,2025-06-02,2,6171,57,54.5,412,60,109,243,1954
1,2025-06-03,2,7367,74,59.3,433,63,112,258,2152
1,2025-06-04,2,9479,90,56.4,443,72,82,289,2298
1,2025-06-05,2,7328,67,57.8,408,57,95,256,2086
1,2025-06-06,2,8797,83,59.8,403,63,99,241,2157
1,2025-06-07,2,8718,80,54.7,384,84,69,231,2274
1,2025-06-08,2,8154,74,56.7,480,67,110,303,2174
1,2025-06-09,2,6362,43,59.1,380,72,92,216,2063
1,2025-06-10,2,7852,78,60.8,284,46,73,165,2239
1,2025-06-11,2,8374,78,57.0,348,62,85,201,2144
1,2025-06-12,2,6424,59,62.3,474,74,108,292,2077
1,2025-06-13,2,10693,98,54.4,419,94,88,237,2491
1,2025-06-14,2,8305,69,56.1,416,84,87,245,2240
1,2025-06-15,2,7571,70,56.4,465,94,87,284,2190
1,2025-06-16,2,6058,56,59.2,395,76,93,226,2129
1,2025-06-17,2,9159,71,53.6,426,95,114,217,2199
1,2025-06-18,2,9025,80,58.3,385,77,72,236,2220
1,2025-06-19,2,9354,99,54.9,389,80,96,213,2392
1,2025-06-20,2,6475,53,56.7,405,76,79,250,1955
1,2025-06-21,2,11183,110,58.3,416,74,96,246,2311
1,2025-06-22,2,11081,100,54.3,454,83,105,266,2360
1,2025-06-23,2,9588,81,59.3,434,58,78,298,2210
1,2025-06-24,2,6426,56,59.1,370,67,88,215,2075
1,2025-06-25,2,6861,64,60.4,357,78,88,191,2114
1,2025-06-26,2,8342,79,56.7,318,71,67,180,2249
1,2025-06-27,2,8106,63,57.1,400,56,86,258,2153
1,2025-06-28,2,8844,67,56.0,478,75,102,301,2181
1,2025-06-29,2,7611,70,59.6,393,73,73,247,2114
1,2025-06-30,2,9651,97,56.6,410,84,86,240,2328
1,2025-07-01,2,1934,23,63.3,390,64,76,250,1617
1,2025-07-02,2,5224,44,58.6,439,97,86,256,1981
1,2025-07-03,2,8541,80,54.2,385,71,81,233,2310
1,2025-07-04,2,4937,51,63.7,463,93,91,279,1912
1,2025-07-05,2,10420,102,56.5,411,56,93,262,2415
1,2025-07-06,2,7549,67,52.8,328,65,70,193,2112
1,2025-07-07,2,6722,61,56.6,431,87,110,234,2111
1,2025-07-08,2,4774,51,59.0,421,56,79,286,1974
1,2025-07-09,2,6254,54,57.5,514,85,103,326,2022
1,2025-07-10,2,8266,74,57.4,440,75,95,270,2239
1,2025-07-11,2,2850,29,60.9,360,61,71,228,1831
1,2025-07-12,2,10295,90,57.9,391,76,96,219,2397
1,2025-07-13,2,12377,115,49.6,452,71,118,263,2575
1,2025-07-14,2,7378,66,59.1,410,81,98,231,2224
1,2025-07-15,2,4341,35,59.9,439,77,88,274,1747
1,2025-07-16,2,8923,80,56.0,498,97,109,292,2202
1,2025-07-17,2,6686,54,56.4,412,70,110,232,1992
1,2025-07-18,2,10855,112,53.5,386,53,87,246,2425
1,2025-07-19,2,11512,99,52.6,419,92,77,250,2452
1,2025-07-20,2,5548,49,55.8,392,74,77,241,2003
1,2025-07-21,2,6460,51,60.2,449,97,111,241,2064
1,2025-07-22,2,7526,56,55.7,449,103,85,261,2150
1,2025-07-23,2,8091,74,54.4,382,65,74,243,2098
1,2025-07-24,2,5725,42,61.0,420,79,88,253,1997
1,2025-07-25,2,7557,68,55.7,434,75,99,260,2100
1,2025-07-26,2,12546,108,53.5,418,67,101,250,2513
1,2025-07-27,2,8795,83,58.5,468,65,94,309,2246
1,2025-07-28,2,8497,73,57.1,456,66,99,291,2309
1,2025-07-29,2,7080,63,58.1,471,91,114,266,2068
1,2025-07-30,2,10462,93,55.2,350,77,86,187,2349
1,2025-07-31,2,7971,66,58.5,421,76,88,257,2184
1,2025-08-01,2,11666,105,52.7,415,77,91,247,2430
1,2025-08-02,2,9575,83,56.3,293,40,53,200,2263
1,2025-08-03,2,9483,84,56.3,398,58,86,254,2226
1,2025-08-04,2,9125,89,56.5,439,86,117,236,2306
1,2025-08-05,2,8220,72,57.7,444,70,102,272,2163
1,2025-08-06,2,5682,62,61.9,458,100,98,260,2069
1,2025-08-07,2,8168,73,59.7,326,61,84,181,2119
1,2025-08-08,2,5307,58,58.4,533,99,103,331,2003
1,2025-08-09,2,8479,76,57.6,374,63,76,235,2191
1,2025-08-10,2,7484,71,56.4,412,80,107,225,2151
1,2025-08-11,2,8450,81,59.9,425,81,97,247,2316
1,2025-08-12,2,7976,73,58.0,397,74,101,222,2159
1,2025-08-13,2,9463,82,60.5,362,57,81,224,2234
1,2025-08-14,2,8165,74,58.5,402,62,75,265,2152
1,2025-08-15,2,8972,95,55.3,438,94,83,261,2279
1,2025-08-16,2,11916,106,57.3,457,97,85,275,2556
1,2025-08-17,2,11558,111,55.1,367,51,75,241,2411
1,2025-08-18,2,10739,99,52.3,512,102,125,285,2461
1,2025-08-19,2,5338,50,61.5,373,73,67,233,1947
1,2025-08-20,2,7007,60,57.7,413,80,99,234,2136
1,2025-08-21,2,8723,82,56.5,416,59,89,268,2172
1,2025-08-22,2,6489,55,57.4,395,59,102,234,2006
1,2025-08-23,2,10886,105,55.6,342,60,88,194,2331
1,2025-08-24,2,5805,48,61.0,376,49,87,240,2107
1,2025-08-25,2,8359,77,58.4,429,68,110,251,2121
1,2025-08-26,2,8867,80,57.0,421,92,92,237,2202
1,2025-08-27,2,6017,55,58.6,410,63,78,269,1995
1,2025-08-28,2,9315,93,58.4,420,85,97,238,2351
1,2025-08-29,2,8525,74,56.2,430,75,84,271,2146
1,2025-08-30,2,9444,90,55.6,341,76,69,196,2248
1,2025-08-31,2,4635,40,60.8,325,60,72,193,1976
1,2025-09-01,2,7314,68,56.0,449,82,117,250,2180
1,2025-09-02,2,7875,69,57.9,420,78,89,253,2199
1,2025-09-03,2,9917,82,54.6,402,88,76,238,2304
1,2025-09-04,2,10703,90,58.1,495,68,113,314,2322
1,2025-09-05,2,9908,97,53.8,402,91,99,212,2271
1,2025-09-06,2,7494,70,57.2,366,53,90,223,2210
1,2025-09-07,2,9750,86,56.4,408,82,106,220,2359
1,2025-09-08,2,7715,69,55.3,366,75,76,215,2127
1,2025-09-09,2,3771,31,65.2,432,73,111,248,1876
1,2025-09-10,2,7884,73,59.3,453,82,111,260,2145
1,2025-09-11,2,8693,81,56.8,410,73,96,241,2253
1,2025-09-12,2,7021,70,58.3,318,67,78,173,2244
1,2025-09-13,2,7581,61,58.5,459,86,122,251,2137
1,2025-09-14,2,9115,70,55.9,419,82,111,226,2326
1,2025-09-15,2,3530,20,60.3,389,57,99,233,1805
1,2025-09-16,2,10101,95,53.9,423,84,113,226,2268
1,2025-09-17,2,9607,96,53.8,445,69,116,260,2313
1,2025-09-18,2,11015,85,57.6,433,86,93,254,2339
1,2025-09-19,2,9056,83,57.0,460,75,86,299,2181
1,2025-09-20,2,11389,104,55.7,495,82,98,315,2424
1,2025-09-21,2,11548,100,55.1,444,68,96,280,2495
1,2025-09-22,2,5172,44,63.1,422,96,100,226,1945
1,2025-09-23,2,9097,81,53.9,433,83,112,238,2178
1,2025-09-24,2,9117,83,56.2,405,75,84,246,2244
1,2025-09-25,2,8984,86,54.5,431,84,89,258,2246
1,2025-09-26,2,6141,55,61.8,403,79,82,242,2021
1,2025-09-27,2,7206,60,59.6,392,54,80,258,2062
1,2025-09-28,2,8129,75,57.8,456,98,87,271,2169
1,2025-09-29,2,5956,62,60.5,365,55,70,240,2070
