user_id,log_date,meal_type,calories,protein_g,carbs_g,fat_g
1,2024-08-27,breakfast,1209.0,89.5,129.6,37.0
1,2024-08-28,breakfast,330.0,24.0,33.1,11.3
1,2024-08-28,snack,1547.0,83.5,181.2,54.2
1,2024-08-28,lunch,215.0,14.7,21.3,7.9
1,2024-08-28,dinner,337.0,28.4,26.6,13.0
1,2024-08-29,dinner,1190.0,81.3,153.8,27.7
1,2024-08-29,breakfast,463.0,37.0,51.7,12.0
1,2024-08-29,lunch,676.0,35.8,79.6,23.8
1,2024-08-29,snack,273.0,21.4,29.2,7.9
1,2024-09-01,breakfast,337.0,22.1,34.7,12.2
1,2024-09-01,snack,1312.0,95.8,145.1,38.7
1,2024-09-01,dinner,862.0,74.7,95.1,20.3
1,2024-09-02,breakfast,814.0,55.4,90.7,25.5
1,2024-09-02,snack,517.0,40.6,52.8,15.9
1,2024-09-02,lunch,943.0,56.1,102.7,34.2
1,2024-09-02,dinner,223.0,15.1,21.6,8.5
1,2024-09-03,snack,682.0,43.2,89.1,17.0
1,2024-09-03,breakfast,1590.0,119.8,148.6,57.4
1,2024-09-05,snack,802.0,60.6,87.2,23.4
1,2024-09-05,lunch,529.0,45.9,41.1,20.1
1,2024-09-05,dinner,1279.0,68.8,145.4,46.9
1,2024-09-06,breakfast,1393.0,83.4,184.9,35.5
1,2024-09-06,dinner,891.0,74.6,75.2,32.4
1,2024-09-08,dinner,918.0,73.9,76.9,35.0
1,2024-09-08,snack,1590.0,92.2,179.1,56.1
1,2024-09-09,snack,1902.0,140.7,219.1,51.4
1,2024-09-09,dinner,477.0,26.3,55.1,16.8
1,2024-09-10,dinner,1232.0,76.4,141.0,40.3
1,2024-09-10,snack,766.0,59.9,70.5,27.1
1,2024-09-10,breakfast,540.0,44.3,53.4,16.6
1,2024-09-14,breakfast,1288.0,106.6,122.5,41.3
1,2024-09-14,dinner,565.0,47.3,53.7,17.9
1,2024-09-14,snack,460.0,26.5,49.3,17.4
1,2024-09-14,lunch,71.0,4.1,9.1,2.0
1,2024-09-16,snack,635.0,41.5,62.1,24.5
1,2024-09-16,breakfast,499.0,37.3,49.4,16.9
1,2024-09-16,lunch,1359.0,98.2,138.9,45.6
1,2024-09-17,breakfast,711.0,52.0,65.8,26.6
1,2024-09-17,snack,150.0,9.5,17.4,4.7
1,2024-09-17,dinner,934.0,64.7,109.2,26.5
1,2024-09-17,lunch,630.0,32.3,91.2,15.1
1,2024-09-19,breakfast,660.0,37.8,80.2,20.9
1,2024-09-19,dinner,686.0,43.5,74.4,23.8
1,2024-09-19,lunch,864.0,48.2,106.9,27.1
1,2024-09-19,snack,476.0,41.2,53.9,10.6
1,2024-09-22,snack,664.0,47.5,61.2,25.4
1,2024-09-22,dinner,391.0,28.5,36.5,14.6
1,2024-09-22,lunch,773.0,52.2,84.2,25.3
1,2024-09-22,breakfast,546.0,46.1,55.3,15.6
1,2024-09-23,snack,588.0,38.3,63.1,20.3
1,2024-09-23,breakfast,144.0,12.2,13.4,4.6
1,2024-09-23,lunch,1619.0,115.6,202.2,38.6
1,2024-09-24,dinner,273.0,19.6,28.5,9.0
1,2024-09-24,lunch,789.0,41.2,105.5,22.5
1,2024-09-24,breakfast,888.0,55.1,118.6,21.5
1,2024-09-24,snack,799.0,45.9,109.7,19.6
1,2024-09-27,snack,908.0,57.3,123.5,20.5
1,2024-09-27,breakfast,1671.0,122.9,157.4,61.1
1,2024-09-28,lunch,810.0,43.3,95.5,28.3
1,2024-09-28,breakfast,1178.0,60.6,153.8,35.6
1,2024-09-28,dinner,322.0,25.6,29.7,11.2
1,2024-09-28,snack,436.0,29.9,45.6,14.9
1,2024-09-29,dinner,620.0,53.4,62.3,17.5
1,2024-09-29,lunch,346.0,28.3,30.4,12.4
1,2024-09-29,breakfast,952.0,78.5,80.5,35.1
1,2024-09-29,snack,577.0,30.4,72.2,18.5
1,2024-10-02,breakfast,1214.0,86.6,118.6,43.7
1,2024-10-02,lunch,996.0,59.0,115.2,33.2
1,2024-10-02,dinner,221.0,12.8,29.0,5.9
1,2024-10-02,snack,195.0,12.0,22.4,6.4
1,2024-10-03,lunch,153.0,9.1,17.5,5.2
1,2024-10-03,snack,2306.0,116.5,328.5,58.4
1,2024-10-04,snack,691.0,36.1,91.2,20.2
1,2024-10-04,breakfast,1976.0,170.1,211.8,49.8
1,2024-10-05,dinner,1458.0,94.2,174.7,42.5
1,2024-10-05,breakfast,1059.0,59.4,133.9,31.7
1,2024-10-06,dinner,1265.0,65.6,176.9,32.8
1,2024-10-06,lunch,1304.0,111.6,118.7,42.6
1,2024-10-06,snack,283.0,17.8,34.2,8.3
1,2024-10-07,snack,1291.0,111.2,120.2,40.6
1,2024-10-07,breakfast,1341.0,82.8,139.3,50.3
1,2024-10-09,dinner,517.0,33.1,62.4,15.0
1,2024-10-09,lunch,1774.0,108.2,228.3,47.5
1,2024-10-10,breakfast,360.0,22.5,36.1,14.0
1,2024-10-10,snack,775.0,50.4,97.5,20.4
1,2024-10-10,lunch,1526.0,126.2,131.9,54.9
1,2024-10-11,breakfast,29.0,2.3,2.9,0.9
1,2024-10-11,lunch,246.0,15.4,31.7,6.4
1,2024-10-11,snack,1217.0,81.2,136.3,38.5
1,2024-10-11,dinner,858.0,46.8,121.0,20.7
1,2024-10-12,dinner,1588.0,133.2,159.5,46.3
1,2024-10-12,lunch,1004.0,84.2,103.7,28.1
1,2024-10-13,dinner,928.0,71.0,95.1,29.3
1,2024-10-13,lunch,1522.0,110.0,160.8,48.8
1,2024-10-15,snack,937.0,72.0,99.9,27.7
1,2024-10-15,lunch,1090.0,74.9,115.9,36.3
1,2024-10-15,dinner,317.0,17.0,35.9,11.7
1,2024-10-17,lunch,288.0,19.0,30.5,10.0
1,2024-10-17,breakfast,461.0,25.1,64.3,11.5
1,2024-10-17,dinner,925.0,64.7,94.7,31.9
1,2024-10-17,snack,839.0,55.9,105.0,21.7
1,2024-10-19,breakfast,851.0,72.3,70.7,31.0
1,2024-10-19,snack,1613.0,93.1,200.3,48.8
1,2024-10-20,lunch,1086.0,80.8,109.9,35.9
1,2024-10-20,snack,796.0,60.7,95.2,19.2
1,2024-10-20,dinner,431.0,34.8,51.2,9.7
1,2024-10-23,lunch,328.0,19.0,45.4,7.8
1,2024-10-23,breakfast,1921.0,129.2,251.5,44.2
1,2024-10-23,snack,346.0,24.4,34.3,12.4
1,2024-10-25,lunch,441.0,25.0,52.1,14.7
1,2024-10-25,snack,522.0,26.8,58.5,20.1
1,2024-10-25,dinner,1198.0,78.6,158.0,28.0
1,2024-10-25,breakfast,257.0,20.5,25.2,8.3
1,2024-10-26,breakfast,624.0,46.1,58.3,23.0
1,2024-10-26,lunch,1843.0,126.4,235.7,43.9
1,2024-10-29,dinner,558.0,44.7,61.8,14.7
1,2024-10-29,snack,1067.0,60.3,151.1,24.6
1,2024-10-29,breakfast,609.0,47.7,61.3,19.2
1,2024-10-29,lunch,281.0,23.6,24.3,9.9
1,2024-10-31,lunch,1038.0,84.6,99.6,33.5
1,2024-10-31,snack,617.0,34.4,67.2,23.4
1,2024-10-31,dinner,664.0,45.7,86.8,14.9
1,2024-10-31,breakfast,266.0,21.8,22.6,9.8
1,2024-11-01,snack,947.0,59.8,112.9,28.5
1,2024-11-01,lunch,203.0,11.5,28.4,4.8
1,2024-11-01,dinner,465.0,39.5,50.5,11.7
1,2024-11-01,breakfast,931.0,62.1,116.7,24.0
1,2024-11-02,lunch,1085.0,73.4,126.8,31.6
1,2024-11-02,snack,395.0,25.9,42.2,13.6
1,2024-11-02,dinner,1260.0,70.1,139.3,46.9
1,2024-11-03,dinner,220.0,18.9,24.4,5.2
1,2024-11-03,breakfast,782.0,60.4,67.6,30.0
1,2024-11-03,lunch,679.0,54.3,59.4,24.9
1,2024-11-03,snack,1106.0,88.8,109.4,34.8
1,2024-11-04,lunch,1523.0,108.6,181.2,40.4
1,2024-11-04,breakfast,974.0,69.4,95.6,34.9
1,2024-11-07,breakfast,672.0,56.4,53.8,25.7
1,2024-11-07,snack,308.0,17.0,33.7,11.7
1,2024-11-07,lunch,1034.0,74.8,120.4,28.1
1,2024-11-07,dinner,576.0,50.3,63.4,13.5
1,2024-11-08,dinner,990.0,55.5,134.3,25.6
1,2024-11-08,breakfast,1727.0,94.5,246.4,40.4
1,2024-11-09,snack,1318.0,80.6,171.4,34.5
1,2024-11-09,lunch,299.0,26.0,33.3,6.8
1,2024-11-09,breakfast,962.0,75.8,105.0,26.5
1,2024-11-10,breakfast,1425.0,106.0,147.1,45.9
1,2024-11-10,dinner,847.0,59.3,96.3,24.9
1,2024-11-10,lunch,149.0,11.2,13.1,5.8
1,2024-11-12,snack,1028.0,67.8,105.5,37.2
1,2024-11-12,lunch,705.0,53.1,83.3,17.7
1,2024-11-12,dinner,804.0,55.8,79.3,29.3
1,2024-11-13,breakfast,1786.0,115.0,223.5,48.0
1,2024-11-13,lunch,352.0,27.5,34.7,11.5
1,2024-11-14,breakfast,839.0,59.2,78.5,32.0
1,2024-11-14,dinner,469.0,30.6,59.2,12.2
1,2024-11-14,lunch,767.0,44.9,103.8,19.1
1,2024-11-14,snack,341.0,25.0,37.6,10.1
1,2024-11-15,lunch,462.0,24.1,51.3,17.8
1,2024-11-15,breakfast,914.0,76.3,73.3,35.1
1,2024-11-15,snack,883.0,71.1,86.0,28.3
1,2024-11-15,dinner,466.0,31.2,51.1,15.2
1,2024-11-16,lunch,974.0,68.1,96.5,35.1
1,2024-11-16,dinner,845.0,50.2,96.9,28.5
1,2024-11-16,breakfast,235.0,14.5,25.7,8.2
1,2024-11-16,snack,467.0,30.4,46.7,17.6
1,2024-11-18,snack,539.0,33.9,65.5,15.7
1,2024-11-18,breakfast,1305.0,86.6,136.1,46.0
1,2024-11-18,lunch,515.0,40.3,48.8,17.6
1,2024-11-18,dinner,123.0,7.6,12.6,4.7
1,2024-11-20,lunch,1492.0,108.2,173.0,40.8
1,2024-11-20,snack,686.0,39.4,76.1,24.9
1,2024-11-21,snack,1052.0,77.6,126.1,26.4
1,2024-11-21,dinner,436.0,29.8,51.9,12.1
1,2024-11-21,breakfast,419.0,25.0,54.2,11.4
1,2024-11-21,lunch,575.0,43.8,67.7,14.3
1,2024-11-22,snack,1766.0,153.3,165.7,54.4
1,2024-11-22,lunch,274.0,18.6,32.8,7.6
1,2024-11-22,breakfast,693.0,58.2,55.3,26.6
1,2024-11-23,lunch,1631.0,135.2,143.5,57.3
1,2024-11-23,breakfast,985.0,56.3,113.7,33.9
1,2024-11-26,breakfast,1081.0,60.5,129.6,35.6
1,2024-11-26,snack,1434.0,81.5,173.1,46.2
1,2024-11-29,breakfast,644.0,43.0,82.2,15.9
1,2024-11-29,snack,714.0,43.1,73.3,27.6
1,2024-11-29,dinner,661.0,37.4,71.2,25.1
1,2024-11-29,lunch,683.0,46.6,83.6,18.0
1,2024-12-03,dinner,498.0,26.4,61.3,16.4
1,2024-12-03,breakfast,1012.0,84.6,113.2,24.5
1,2024-12-03,snack,998.0,52.5,134.2,27.9
1,2024-12-04,dinner,828.0,64.4,99.4,19.2
1,2024-12-04,breakfast,1699.0,110.2,214.8,44.3
1,2024-12-06,snack,2139.0,180.1,198.2,69.5
1,2024-12-06,lunch,602.0,31.8,87.2,14.0
1,2024-12-07,dinner,1845.0,141.5,169.3,66.9
1,2024-12-07,breakfast,525.0,28.8,65.8,16.2
1,2024-12-08,breakfast,215.0,16.3,22.4,6.7
1,2024-12-08,dinner,528.0,46.1,49.3,16.2
1,2024-12-08,lunch,871.0,54.0,104.2,26.5
1,2024-12-08,snack,964.0,77.9,93.5,31.0
1,2024-12-09,dinner,1981.0,130.6,205.4,70.8
1,2024-12-09,lunch,598.0,35.4,74.0,17.9
1,2024-12-10,dinner,283.0,20.9,26.9,10.2
1,2024-12-10,snack,134.0,11.2,13.2,4.1
1,2024-12-10,breakfast,1109.0,72.1,142.9,27.6
1,2024-12-10,lunch,966.0,69.0,117.7,24.3
1,2024-12-11,snack,753.0,63.0,62.2,28.0
1,2024-12-11,breakfast,552.0,37.7,53.8,20.7
1,2024-12-11,dinner,383.0,31.2,31.8,14.5
1,2024-12-11,lunch,800.0,40.6,116.3,19.2
1,2024-12-14,breakfast,156.0,12.9,13.8,5.5
1,2024-12-14,dinner,1951.0,123.5,199.5,73.2
1,2024-12-14,snack,154.0,13.2,14.9,4.6
1,2024-12-14,lunch,372.0,26.8,43.3,10.2
1,2024-12-15,lunch,364.0,23.6,42.8,10.9
1,2024-12-15,snack,401.0,26.6,39.0,15.4
1,2024-12-15,breakfast,1770.0,141.7,154.8,64.9
1,2024-12-16,breakfast,185.0,13.4,23.1,4.3
1,2024-12-16,dinner,2346.0,140.5,277.7,74.8
1,2024-12-17,lunch,247.0,14.7,26.9,9.0
1,2024-12-17,dinner,842.0,60.1,88.4,27.5
1,2024-12-17,breakfast,1546.0,133.5,158.0,42.2
1,2024-12-18,snack,1534.0,81.3,182.4,53.2
1,2024-12-18,breakfast,1002.0,59.9,115.6,33.3
1,2024-12-19,breakfast,2359.0,140.1,270.9,79.4
1,2024-12-19,snack,225.0,17.2,23.9,6.7
1,2024-12-21,lunch,350.0,28.5,29.8,13.0
1,2024-12-21,dinner,621.0,49.0,65.2,18.2
1,2024-12-21,breakfast,932.0,53.4,126.3,23.7
1,2024-12-21,snack,786.0,42.5,105.3,21.6
1,2024-12-22,breakfast,1763.0,118.4,219.2,45.8
1,2024-12-22,lunch,736.0,50.0,76.9,25.4
1,2024-12-23,snack,1381.0,90.8,152.1,45.5
1,2024-12-23,lunch,630.0,34.3,86.8,16.2
1,2024-12-23,breakfast,615.0,51.1,57.3,20.2
1,2024-12-26,dinner,575.0,49.1,54.1,18.0
1,2024-12-26,snack,2054.0,178.7,190.9,64.0
1,2024-12-29,dinner,530.0,28.1,66.4,16.9
1,2024-12-29,lunch,1355.0,94.3,143.9,44.7
1,2024-12-29,breakfast,867.0,60.6,80.9,33.4
1,2025-01-01,snack,978.0,80.3,109.6,24.3
1,2025-01-01,breakfast,542.0,35.8,71.7,12.5
1,2025-01-01,dinner,774.0,47.8,101.5,19.6
1,2025-01-04,breakfast,1383.0,120.4,132.9,41.1
1,2025-01-04,dinner,637.0,44.3,71.0,19.5
1,2025-01-04,snack,682.0,53.0,78.8,17.2
1,2025-01-05,breakfast,1664.0,94.2,179.5,63.3
1,2025-01-05,lunch,1032.0,62.2,136.8,26.2
1,2025-01-07,lunch,315.0,22.5,38.5,7.9
1,2025-01-07,breakfast,164.0,11.1,20.3,4.3
1,2025-01-07,dinner,750.0,46.9,82.6,25.8
1,2025-01-07,snack,1426.0,107.1,172.8,34.1
1,2025-01-08,lunch,54.0,3.6,6.2,1.7
1,2025-01-08,breakfast,1747.0,121.9,218.7,42.7
1,2025-01-08,dinner,773.0,42.0,89.9,27.3
1,2025-01-11,snack,1206.0,99.2,118.3,37.3
1,2025-01-11,lunch,1234.0,107.9,106.1,42.0
1,2025-01-12,snack,607.0,38.6,78.8,15.3
1,2025-01-12,dinner,748.0,52.0,82.1,23.5
1,2025-01-12,lunch,375.0,28.4,37.0,12.6
1,2025-01-12,breakfast,763.0,55.8,77.1,25.7
1,2025-01-13,snack,1532.0,88.4,205.4,39.6
1,2025-01-13,lunch,1396.0,112.3,140.3,42.9
1,2025-01-14,breakfast,738.0,45.0,83.7,24.8
1,2025-01-14,snack,261.0,14.4,37.1,6.1
1,2025-01-14,lunch,207.0,18.1,19.1,6.5
1,2025-01-14,dinner,1220.0,105.2,97.5,45.5
1,2025-01-15,dinner,1036.0,75.0,117.4,29.6
1,2025-01-15,lunch,182.0,9.7,24.3,5.1
1,2025-01-15,breakfast,383.0,26.3,42.4,12.0
1,2025-01-15,snack,1092.0,56.8,142.3,32.9
1,2025-01-16,lunch,228.0,14.1,23.6,8.5
1,2025-01-16,breakfast,434.0,30.9,44.8,14.6
1,2025-01-16,snack,1067.0,55.3,154.2,25.4
1,2025-01-16,dinner,703.0,51.4,63.5,27.1
1,2025-01-18,dinner,1995.0,113.5,220.1,73.4
1,2025-01-18,lunch,576.0,44.2,62.6,16.5
1,2025-01-18,breakfast,78.0,6.7,6.9,2.6
1,2025-01-19,breakfast,308.0,26.9,26.3,10.5
1,2025-01-19,dinner,1872.0,96.2,262.0,48.8
1,2025-01-21,snack,415.0,22.8,55.8,11.2
1,2025-01-21,lunch,946.0,80.2,96.0,26.8
1,2025-01-21,dinner,637.0,38.0,86.4,15.5
1,2025-01-21,breakfast,729.0,46.8,93.2,18.8
1,2025-01-22,breakfast,1031.0,53.8,129.8,32.9
1,2025-01-22,snack,1348.0,115.6,126.9,42.0
1,2025-01-23,lunch,392.0,28.8,40.1,12.9
1,2025-01-23,snack,687.0,38.4,88.2,20.0
1,2025-01-23,dinner,1451.0,75.6,202.9,37.5
1,2025-01-25,snack,94.0,5.9,11.2,2.8
1,2025-01-25,lunch,307.0,18.7,40.7,7.7
1,2025-01-25,dinner,1515.0,82.4,198.8,43.3
1,2025-01-25,breakfast,573.0,33.7,77.7,14.2
1,2025-01-26,breakfast,923.0,50.1,127.8,23.5
1,2025-01-26,dinner,56.0,4.3,6.4,1.5
1,2025-01-26,snack,617.0,32.2,81.2,18.2
1,2025-01-26,lunch,1154.0,80.3,140.4,30.1
1,2025-01-28,dinner,215.0,13.8,24.3,6.9
1,2025-01-28,lunch,303.0,22.0,29.5,10.7
1,2025-01-28,breakfast,989.0,53.0,128.1,29.4
1,2025-01-28,snack,1061.0,88.9,108.4,30.2
1,2025-01-30,breakfast,2017.0,175.3,181.9,65.3
1,2025-01-30,lunch,492.0,27.7,54.3,18.2
1,2025-01-31,snack,218.0,13.8,25.4,6.8
1,2025-01-31,breakfast,1093.0,90.2,111.5,31.8
1,2025-01-31,dinner,1085.0,74.7,103.6,41.3
1,2025-02-01,dinner,1046.0,79.4,113.8,30.4
1,2025-02-01,lunch,1606.0,137.6,129.7,59.6
1,2025-02-02,lunch,508.0,30.2,59.9,16.4
1,2025-02-02,snack,217.0,11.7,27.1,6.9
1,2025-02-02,breakfast,829.0,70.5,90.8,20.4
1,2025-02-02,dinner,1031.0,85.8,105.5,29.6
1,2025-02-03,dinner,146.0,10.5,16.0,4.4
1,2025-02-03,breakfast,2434.0,130.4,356.3,54.1
1,2025-02-04,dinner,430.0,22.7,50.2,15.4
1,2025-02-04,breakfast,644.0,39.4,85.1,16.2
1,2025-02-04,snack,1387.0,91.6,185.5,30.9
1,2025-02-05,breakfast,519.0,34.8,61.5,14.8
1,2025-02-05,snack,1269.0,76.9,157.6,36.8
1,2025-02-05,lunch,851.0,52.2,101.8,26.1
1,2025-02-06,dinner,1841.0,151.5,163.4,64.6
1,2025-02-06,lunch,626.0,40.9,83.0,14.5
1,2025-02-07,dinner,1278.0,71.7,142.1,47.0
1,2025-02-07,snack,375.0,19.7,42.8,13.9
1,2025-02-07,lunch,704.0,44.8,73.8,25.5
1,2025-02-07,breakfast,175.0,10.5,22.8,4.6
1,2025-02-08,snack,1695.0,113.3,166.8,63.8
1,2025-02-08,lunch,302.0,22.5,28.5,10.9
1,2025-02-08,breakfast,728.0,57.7,62.3,27.6
1,2025-02-09,dinner,843.0,48.6,92.3,31.1
1,2025-02-09,lunch,562.0,36.5,74.0,13.3
1,2025-02-09,breakfast,657.0,44.7,66.6,23.5
1,2025-02-09,snack,335.0,20.5,42.3,9.3
1,2025-02-10,snack,752.0,59.5,74.7,23.9
1,2025-02-10,lunch,619.0,40.8,70.3,19.4
1,2025-02-10,dinner,1204.0,65.6,144.2,40.5
1,2025-02-11,snack,2488.0,154.0,299.3,75.0
1,2025-02-11,breakfast,116.0,7.8,15.1,2.7
1,2025-02-12,lunch,1162.0,77.0,151.2,27.7
1,2025-02-12,dinner,722.0,56.0,64.2,26.8
1,2025-02-12,breakfast,333.0,28.7,33.0,9.6
1,2025-02-12,snack,311.0,17.6,34.5,11.4
1,2025-02-13,dinner,507.0,39.4,60.3,12.0
1,2025-02-13,lunch,900.0,57.3,114.9,23.5
1,2025-02-13,snack,1196.0,71.9,161.1,29.4
1,2025-02-14,breakfast,1094.0,67.3,120.3,38.2
1,2025-02-14,lunch,1326.0,105.4,138.6,38.9
1,2025-02-15,lunch,1791.0,114.7,225.4,47.8
1,2025-02-15,breakfast,769.0,57.8,86.3,21.4
1,2025-02-17,lunch,651.0,52.9,54.4,24.7
1,2025-02-17,snack,1060.0,67.0,118.9,35.2
1,2025-02-17,breakfast,828.0,63.2,92.9,22.6
1,2025-02-19,dinner,1645.0,106.7,211.7,41.3
1,2025-02-19,lunch,998.0,62.7,129.9,25.3
1,2025-02-20,dinner,1838.0,132.2,207.3,53.3
1,2025-02-20,lunch,567.0,29.0,80.0,14.5
1,2025-02-21,snack,765.0,41.0,88.9,27.3
1,2025-02-21,breakfast,454.0,33.5,52.1,12.4
1,2025-02-21,dinner,763.0,60.1,80.3,22.4
1,2025-02-21,lunch,709.0,57.5,75.0,19.9
1,2025-02-22,snack,1765.0,107.4,200.9,59.1
1,2025-02-22,breakfast,478.0,29.9,54.5,15.6
1,2025-02-22,dinner,207.0,14.2,25.7,5.3
1,2025-02-23,breakfast,729.0,57.2,68.6,25.1
1,2025-02-23,snack,1253.0,81.8,146.9,37.6
1,2025-02-23,lunch,396.0,28.5,47.4,10.3
1,2025-02-26,dinner,1368.0,112.4,125.4,46.3
1,2025-02-26,snack,150.0,9.5,16.6,5.1
1,2025-02-26,lunch,897.0,78.2,93.9,23.2
1,2025-03-01,lunch,2227.0,194.0,215.1,65.6
1,2025-03-01,breakfast,255.0,18.0,29.5,7.2
1,2025-03-01,dinner,266.0,22.7,26.0,7.9
